price,units_sold,rating,rating_count,badges_count,badge_product_quality,product_variation_inventory,shipping_option_price,merchant_rating_count,merchant_rating,merchant_has_profile_picture,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,size_m,size_other,size_s,size_xs,log_units_sold,tag_summer,tag_women's fashion,tag_sexy,tag_tank
11.0,100,4.11,28,2,0,2,3,9541,4.210460119484331,0,17.0,4.0,3.0,1.0,3.0,0,1,0,0,4.605170185988092,1,0,0,0
9.0,100,3.18,72,0,0,10,3,288,3.7291666666666665,0,17.0,19.0,12.0,8.0,16.0,0,1,0,0,4.605170185988092,1,1,0,1
6.0,10000,3.96,1338,0,0,50,2,54504,3.8016842800528403,1,685.0,257.0,187.0,72.0,137.0,0,1,0,0,9.210340371976184,1,0,1,0
20.0,100,2.8,15,0,0,50,6,67,3.2985074626865667,0,2.0,3.0,5.0,0.0,5.0,0,1,0,0,4.605170185988092,1,0,0,0
5.66,5000,3.89,1161,0,0,50,2,99283,4.285597735765438,0,558.0,242.0,159.0,75.0,127.0,0,0,1,0,8.517193191416238,1,1,1,0
8.0,100,3.97,29,0,0,1,2,239,3.8828451882845187,0,18.0,1.0,5.0,1.0,4.0,0,0,1,0,4.605170185988092,1,0,0,0
8.0,1000,3.61,668,0,0,10,2,40616,4.098557218830018,0,254.0,155.0,102.0,61.0,96.0,0,1,0,0,6.907755278982137,1,1,1,0
6.0,1000,3.82,134,0,0,1,2,670,3.844776119402985,0,62.0,26.0,23.0,6.0,17.0,0,0,1,0,6.907755278982137,0,0,0,0
11.0,5000,3.96,1556,0,0,50,3,4610,4.252711496746204,0,743.0,338.0,258.0,110.0,107.0,0,0,1,0,8.517193191416238,1,1,0,0
7.0,1000,4.2,107,0,0,3,2,247,3.94331983805668,0,66.0,13.0,18.0,3.0,7.0,0,0,0,1,6.907755278982137,1,1,0,0
11.0,10000,3.77,1694,0,0,50,3,13946,4.000143410296859,0,725.0,376.0,272.0,112.0,209.0,0,0,0,1,9.210340371976184,1,1,0,0
5.8100000000000005,100,2.61,18,0,0,3,2,26473,3.8947606995807047,0,3.0,2.0,5.0,1.0,7.0,0,0,0,1,4.605170185988092,1,1,1,1
14.0,10000,3.93,2946,0,0,36,4,32858,3.88553776857995,0,1427.0,614.0,452.0,180.0,273.0,0,1,0,0,9.210340371976184,0,1,1,0
5.0,10,5.0,0,0,0,1,1,295,3.989830508474576,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2.302585092994046,1,0,0,0
5.0,100,4.3,10,0,0,3,2,10799,4.167978516529308,0,6.0,2.0,1.0,1.0,0.0,0,1,0,0,4.605170185988092,1,1,1,0
11.0,1000,4.12,249,0,0,50,2,8989,3.851930136833908,1,143.0,48.0,24.0,12.0,22.0,0,0,1,0,6.907755278982137,1,1,0,0
12.0,10,3.67,3,0,0,20,3,238,4.008403361344539,0,2.0,0.0,0.0,0.0,1.0,0,0,0,1,2.302585092994046,1,1,0,0
5.68,10,4.5,2,0,0,50,2,160,4.5125,1,1.0,1.0,0.0,0.0,0.0,0,1,0,0,2.302585092994046,1,0,0,0
11.0,100,4.0,12,0,0,50,2,546,4.014652014652015,0,7.0,1.0,2.0,1.0,1.0,0,0,1,0,4.605170185988092,1,0,0,0
17.0,10000,4.16,3040,1,1,50,5,12881,4.35261237481562,1,1782.0,565.0,332.0,123.0,238.0,0,0,1,0,9.210340371976184,0,1,1,0
7.0,100,3.71,21,0,0,9,2,9078,3.878166997135933,0,10.0,5.0,0.0,2.0,4.0,0,0,1,0,4.605170185988092,1,1,0,1
12.0,50,4.75,4,0,0,18,3,57,4.175438596491228,0,3.0,1.0,0.0,0.0,0.0,0,0,1,0,3.912023005428146,1,0,0,0
7.0,100,5.0,2,0,0,50,2,9703,3.9707307018447904,0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,4.605170185988092,1,0,0,1
7.0,50,3.0,2,0,0,50,2,25222,4.001546269130125,0,0.0,1.0,0.0,1.0,0.0,0,0,1,0,3.912023005428146,1,0,0,1
11.0,1000,4.11,135,0,0,50,2,6715,4.0571854058078936,1,75.0,24.0,19.0,10.0,7.0,1,0,0,0,6.907755278982137,1,1,1,0
12.0,100,3.59,27,0,0,50,3,3237,3.948409020698177,0,7.0,9.0,7.0,1.0,3.0,1,0,0,0,4.605170185988092,1,1,0,0
13.0,5000,3.61,127,0,0,50,3,17244,3.9464161447459984,0,59.0,16.0,20.0,7.0,25.0,0,0,1,0,8.517193191416238,1,1,0,0
2.72,1,5.0,0,0,0,1,1,378,3.5978835978835977,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,1,1,0,0
6.0,20000,3.99,1600,0,0,50,2,16013,4.1088490601386365,0,809.0,322.0,238.0,100.0,131.0,0,1,0,0,9.903487552536127,1,1,0,1
9.0,100,4.03,30,0,0,3,3,49,3.7142857142857135,0,17.0,6.0,2.0,1.0,4.0,0,1,0,0,4.605170185988092,1,0,0,0
5.0,50,5.0,1,0,0,5,2,4,3.75,0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,3.912023005428146,1,1,0,0
5.86,1000,3.73,150,0,0,6,1,9308,3.9930167597765363,0,71.0,23.0,23.0,11.0,22.0,0,0,0,1,6.907755278982137,1,1,0,0
2.0,10000,3.99,980,0,0,1,1,12309,4.0451702006661785,1,520.0,180.0,120.0,67.0,93.0,0,0,1,0,9.210340371976184,1,1,0,1
7.0,5000,4.38,996,1,1,8,2,130598,3.946790915634237,0,654.0,178.0,94.0,32.0,38.0,0,0,0,1,8.517193191416238,1,1,0,1
5.66,100,3.08,13,0,0,50,2,2782,4.06901509705248,0,3.0,3.0,3.0,0.0,4.0,0,0,1,0,4.605170185988092,1,0,0,0
13.0,5000,4.11,792,0,0,6,3,4571,3.910741632028002,0,450.0,150.0,88.0,35.0,69.0,0,0,0,1,8.517193191416238,1,1,0,0
8.0,5000,3.6,1254,0,0,27,3,88193,4.080890773644168,1,500.0,241.0,207.0,126.0,180.0,0,1,0,0,8.517193191416238,1,0,0,0
11.0,1000,3.78,299,0,0,5,3,433,3.896073903002309,0,120.0,73.0,55.0,22.0,29.0,0,1,0,0,6.907755278982137,1,1,0,0
8.0,20000,4.05,8904,0,0,50,2,19221,4.168097393475886,0,4640.0,1964.0,1121.0,493.0,686.0,0,0,1,0,9.903487552536127,0,0,0,1
16.0,100,3.53,38,0,0,50,5,1088,4.272058823529412,1,15.0,9.0,2.0,5.0,7.0,0,0,1,0,4.605170185988092,0,0,0,0
11.0,100,4.6,5,0,0,12,3,38936,4.122996712553935,1,3.0,2.0,0.0,0.0,0.0,0,1,0,0,4.605170185988092,1,0,0,0
11.0,5000,3.72,1008,0,0,50,2,61895,4.268002261895145,1,447.0,201.0,135.0,81.0,144.0,1,0,0,0,8.517193191416238,1,1,1,0
8.0,20000,4.16,6860,1,1,50,2,43676,4.283611136550967,0,3906.0,1326.0,869.0,343.0,416.0,0,0,1,0,9.903487552536127,0,1,1,0
14.0,1000,4.04,481,0,0,50,4,26473,3.8947606995807047,0,267.0,86.0,60.0,18.0,50.0,1,0,0,0,6.907755278982137,1,1,0,0
7.0,100,3.6,25,0,0,50,2,483,4.155279503105589,0,10.0,4.0,5.0,3.0,3.0,0,0,1,0,4.605170185988092,1,1,1,0
12.0,20000,3.89,2294,0,0,25,3,59903,4.153665091898569,1,1099.0,449.0,362.0,154.0,230.0,0,1,0,0,9.903487552536127,1,1,0,0
7.0,1000,3.49,49,0,0,50,2,1290,4.011627906976744,0,16.0,11.0,10.0,5.0,7.0,0,0,1,0,6.907755278982137,0,1,0,0
2.0,100,3.07,28,0,0,2,1,4435,3.696054114994363,0,11.0,3.0,1.0,3.0,10.0,0,0,1,0,4.605170185988092,1,1,0,0
6.0,100,3.11,27,0,0,25,2,9177,3.8740329083578513,0,6.0,6.0,5.0,5.0,5.0,0,0,1,0,4.605170185988092,1,1,0,0
8.0,1000,4.07,267,0,0,50,3,2745,4.1256830601092895,0,148.0,44.0,40.0,15.0,20.0,0,0,1,0,6.907755278982137,1,1,0,1
8.0,20000,3.96,8960,0,0,50,3,48654,4.204916348090599,0,4468.0,1850.0,1277.0,583.0,782.0,0,0,1,0,9.903487552536127,0,1,1,0
8.0,5000,4.0,32,0,0,50,3,13127,4.123943018206751,0,19.0,5.0,1.0,3.0,4.0,0,0,0,1,8.517193191416238,1,1,0,1
11.0,1000,3.97,359,0,0,50,2,4508,4.330745341614906,0,180.0,74.0,49.0,28.0,28.0,0,0,0,1,6.907755278982137,1,1,0,0
3.66,5000,3.19,1080,0,0,2,1,10600,3.8675471698113206,0,327.0,170.0,211.0,128.0,244.0,0,0,1,0,8.517193191416238,1,1,1,1
1.68,100,3.67,12,0,0,1,1,1047,3.9560649474689593,0,6.0,2.0,1.0,0.0,3.0,0,1,0,0,4.605170185988092,1,1,0,0
13.0,100,2.5,2,0,0,36,3,31,3.774193548387097,0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,4.605170185988092,1,1,0,0
13.0,1000,3.82,11,0,0,30,3,80093,4.006692220293909,0,5.0,3.0,1.0,0.0,2.0,0,0,1,0,6.907755278982137,1,1,1,0
11.0,100,2.92,12,0,0,50,2,18,3.6666666666666665,0,2.0,1.0,6.0,0.0,3.0,0,0,1,0,4.605170185988092,1,1,0,0
7.0,1000,3.75,219,0,0,2,2,30643,4.152726560715335,1,101.0,36.0,38.0,15.0,29.0,0,0,1,0,6.907755278982137,1,1,0,0
4.8100000000000005,10000,4.16,3135,0,0,45,1,24564,3.9288796612929486,0,1695.0,721.0,416.0,140.0,163.0,0,0,1,0,9.210340371976184,1,1,0,1
9.0,5000,4.29,761,0,0,50,3,5819,4.151916136793264,0,476.0,128.0,90.0,34.0,33.0,1,0,0,0,8.517193191416238,1,1,0,0
18.0,100,3.68,177,0,0,34,5,300,4.156666666666666,0,73.0,36.0,31.0,12.0,25.0,1,0,0,0,4.605170185988092,1,1,1,0
7.0,5000,3.63,601,0,0,50,2,12033,4.024765228953712,0,245.0,102.0,121.0,55.0,78.0,0,0,1,0,8.517193191416238,1,1,0,0
16.0,10,3.0,3,0,0,2,4,31,3.5483870967741935,0,0.0,2.0,0.0,0.0,1.0,0,1,0,0,2.302585092994046,1,0,0,0
