,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,merchant_rating_count,merchant_rating,merchant_has_profile_picture,product_url,limited_quantity,discount,no_urgency,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,origin_m,origin_other,origin_s,origin_xs,origin_CN,origin_US,origin_VE,origin_other,origin_m,origin_other,origin_s,origin_xs
33,2.66,3,5000,0,3.44,1136,0,0,0,0,"Vest,Fashion,Yoga,SEXY CROP TOP,girl bra,Tops,strapless,topbra,Tee,Women's Fashion,straplesstanktop,T Shirts,Casual,Bras,Women",m,50,Livraison standard,1,0,22,50,223392,4.3063628061882255,0,https://www.wish.com/c/5b582d5ec4561c4f6b53feeb,0,0,1,418.0,187.0,201.0,133.0,197.0,1,0,0,0,1,0,0,0,1,0,0,0
34,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,555.0,240.0,211.0,87.0,138.0,0,1,0,0,0,0,0,1,0,1,0,0
35,11.0,10,1000,0,4.16,274,1,0,1,0,"blouse,Summer,Plus Size,Floral print,ruffled,Sleeve,Tops,sexyblouse,short sleeves,Floral,Women's Fashion,Shorts,Print,sexy,Fashion",s,50,Livraison standard,3,0,31,50,13946,4.000143410296859,0,https://www.wish.com/c/5b10cf0b7cc4492c87411045,0,0,1,162.0,47.0,34.0,10.0,21.0,0,0,1,0,1,0,0,0,0,0,1,0
36,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,2.0,0.0,3.0,0.0,3.0,0,1,0,0,0,0,0,1,0,1,0,0
37,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,365.0,109.0,73.0,33.0,63.0,0,1,0,0,0,0,0,1,0,1,0,0
38,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,3.0,1.0,1.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
39,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,82.0,27.0,10.0,7.0,12.0,0,1,0,0,0,0,0,1,0,1,0,0
40,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,3111.0,1172.0,650.0,204.0,222.0,0,1,0,0,1,0,0,0,0,1,0,0
41,7.0,68,10,0,1.5,2,0,0,0,0,"Mini,spaghettistrapdresse,Floral print,Summer,womensfahsion,Spaghetti,Dress,summer dress,Print,minidressforwomen,Mini dress,spaghettishoulderstrapdre,Women's Fashion,floralprinteddre,Sexy Dress,Floral,sexy,Fashion",s,50,Livraison standard,2,0,43,50,397,3.8589420654911835,0,https://www.wish.com/c/5ea69521f5e1e65a3c70faa8,0,0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,1,0,0,0,0,0,1,0
42,12.0,14,100,1,3.79,24,0,0,0,0,"Summer,Shorts,pants,Fitness,Short pants,runningpant,Men's Fashion,Casual,Red,Cotton",s,50,Standardversand,3,0,22,50,196,4.020408163265306,0,https://www.wish.com/c/5ea7e2d999ecf941204c42ee,0,0,1,11.0,6.0,2.0,1.0,4.0,0,0,1,0,1,0,0,0,0,0,1,0
43,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,22.0,11.0,12.0,4.0,10.0,0,1,0,0,0,0,0,1,0,1,0,0
44,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,1467.0,607.0,558.0,241.0,335.0,0,1,0,0,1,0,0,0,0,1,0,0
45,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,11.0,4.0,11.0,4.0,6.0,0,1,0,0,0,0,0,1,0,1,0,0
46,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,0.0,2.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
47,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,451.0,165.0,120.0,51.0,68.0,0,1,0,0,0,0,0,1,0,1,0,0
48,9.0,8,10000,0,3.18,1783,0,0,0,0,"Summer,Plus Size,Floral print,Lace,Sleeve,Long Sleeve,Dress,Loose,V-neck,Floral,Women's Fashion,Fashion,Floral dress,summer dress,Print,Casual,Necks",s,50,Livraison standard,3,0,24,50,10474,3.908535421042582,0,https://www.wish.com/c/5d1573a55a16864c5de706ab,1,0,0,535.0,289.0,344.0,189.0,426.0,0,0,1,0,1,0,0,0,0,0,1,0
49,7.0,6,100,0,3.8,61,0,0,0,0,"Summer,Plus Size,Love,Graphic T-Shirt,Funny,summer t-shirts,short sleeves,T Shirts,Funny T Shirt,Women's Fashion,Fashion,Women",s,50,Livraison standard,2,0,45,50,139607,4.2163859978367855,0,https://www.wish.com/c/5c9212fc8de79667e3c7ca59,1,0,0,28.0,11.0,12.0,2.0,8.0,0,0,1,0,1,0,0,0,0,0,1,0
50,11.0,20,100,0,3.43,14,0,0,0,0,"Summer,Vest,Plus Size,Tank,Necks,Tops,Loose,Women's Fashion,tank top,T Shirts,Fashion,V-neck,solid color,sleeveless,women top,Casual,Women",s,50,Livraison standard,2,0,34,50,3120,4.174679487179486,0,https://www.wish.com/c/5ea2877224b9643185e52b58,1,0,0,5.0,3.0,2.0,1.0,3.0,0,0,1,0,1,0,0,0,0,0,1,0
51,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,171.0,71.0,35.0,12.0,18.0,0,1,0,0,0,0,0,1,0,1,0,0
52,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,3.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
53,11.0,60,1000,1,3.38,37,0,0,0,0,"Summer,Plus Size,Necks,long dress,Dress,summer dress,V-neck,Women's Fashion,printed,wavepoint,Women,Loose,Casual,casual dress",s,49,Livraison standard,2,0,25,50,703,3.9601706970128014,0,https://www.wish.com/c/5ebb9faea86f7a4d86e2f6fb,1,0,0,15.0,3.0,9.0,1.0,9.0,0,0,1,0,1,0,0,0,0,0,1,0
54,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,464.0,178.0,126.0,52.0,69.0,0,1,0,0,0,0,0,1,0,1,0,0
55,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,349.0,171.0,173.0,88.0,157.0,0,1,0,0,0,0,0,1,0,1,0,0
56,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,22.0,8.0,9.0,3.0,10.0,0,1,0,0,0,0,0,0,0,1,0,0
57,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,400.0,142.0,103.0,45.0,53.0,0,1,0,0,0,0,0,1,0,1,0,0
58,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,5.0,0.0,1.0,2.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
59,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,120.0,37.0,31.0,8.0,15.0,0,1,0,0,0,0,0,1,0,1,0,0
60,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,3.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
61,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
62,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,6.0,4.0,2.0,2.0,6.0,0,1,0,0,0,0,0,1,0,1,0,0
63,5.87,11,1000,1,3.91,209,0,0,0,0,"Summer,Fashion,night dress,Dress,Classics,short sleeves,Cotton Dress,Women's Fashion,european,Ladies,American,Large Size,Clothing,Pajamas,Cotton",s,6,Livraison standard,1,0,29,50,6187,4.391304347826087,0,https://www.wish.com/c/5d04e3db2ec1245228829a64,1,0,0,100.0,41.0,34.0,17.0,17.0,0,0,1,0,1,0,0,0,0,0,1,0
64,11.0,10,5000,0,3.72,1008,0,0,0,0,"Summer,Shorts,Rompers,Casual,Ladies,Women's Fashion,Fashion,off shoulder,sexy,Floral,sleeveless,Women,Beach,playsuit,jumpsuit",m,50,Livraison standard,2,0,25,50,61895,4.268002261895145,1,https://www.wish.com/c/5aec22cec25735338c544690,0,0,1,447.0,201.0,135.0,81.0,144.0,1,0,0,0,1,0,0,0,1,0,0,0
65,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,1.0,1.0,2.0,1.0,2.0,0,1,0,0,0,0,0,1,0,1,0,0
66,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,84.0,40.0,28.0,14.0,21.0,0,1,0,0,0,0,0,1,0,1,0,0
67,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,11.0,6.0,5.0,7.0,3.0,0,1,0,0,1,0,0,0,0,1,0,0
68,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,823.0,340.0,250.0,89.0,168.0,0,1,0,0,0,0,0,1,0,1,0,0
69,5.79,30,1000,1,3.41,212,0,0,0,0,"blouse,Plus Size,Summer,Dress,short sleeves,V-neck,beach dress,Fashion,Casual,Deep V-Neck,Shorts,Tops & Blouses,Sleeve,summer dress,Women's Fashion,Swimsuit,Party Dress,Ladies,party,linen dress,Beach,loose dress,Swimming",xs,50,Livraison standard,2,0,118,50,21012,4.189843898724538,1,https://www.wish.com/c/5d29bc2ed35393550e31d6f3,0,0,1,73.0,49.0,23.0,25.0,42.0,0,0,0,1,1,0,0,0,0,0,0,1
70,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,24.0,5.0,6.0,6.0,6.0,0,1,0,0,0,0,0,1,0,1,0,0
71,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,659.0,255.0,199.0,101.0,117.0,0,1,0,0,0,0,0,1,0,1,0,0
72,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,1220.0,433.0,365.0,203.0,299.0,0,1,0,0,0,0,0,1,0,1,0,0
73,11.0,10,100,1,3.46,50,0,0,0,0,"Summer,trousers,Casual pants,pants,Bottom,fashion pants,chiffonpant,Long pants,widelegpant,harem pants,summerpant,Plus Size,printed,Women's Fashion,Casual,Women",s,50,Livraison standard,3,0,41,50,225438,4.301120485454981,0,https://www.wish.com/c/5d5d038d99df1e17cc9313cf,0,0,1,20.0,7.0,8.0,6.0,9.0,0,0,1,0,1,0,0,0,0,0,1,0
74,8.0,33,10,0,5.0,0,0,0,0,0,"Vest,Fashion,Lace,V-neck,Women's Fashion,lacebra,sexy,silk,Casual,Women,Tank,Necks,casualsuspendertop,lace top,Tops,lace vest,slingtop,black,sleeveless",s,50,Livraison standard,2,0,25,50,1496,4.1697860962566855,0,https://www.wish.com/c/5ed0dfc51fa8446451b19c0d,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0
75,9.0,33,50,1,4.5,4,0,0,0,0,"blouse,Summer,Plus Size,Shirt,Heart,womens shirt,print shirt,Tops,short sleeves,Round neck,Funny,Women's Fashion,cute,Women,Casual,Necks",s,50,Livraison standard,3,0,41,50,8397,4.120281052756937,0,https://www.wish.com/c/5eb0f23c904507255ca6530c,0,0,1,2.0,2.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0
76,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,30.0,14.0,5.0,1.0,3.0,0,1,0,0,0,0,0,1,0,1,0,0
77,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,644.0,183.0,114.0,38.0,66.0,0,1,0,0,0,0,0,1,0,1,0,0
78,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,6.0,5.0,0.0,2.0,3.0,0,1,0,0,0,0,0,1,0,1,0,0
79,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,1162.0,488.0,212.0,83.0,110.0,0,1,0,0,0,0,0,1,0,1,0,0
80,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,144.0,57.0,60.0,35.0,77.0,0,1,0,0,0,0,0,1,0,1,0,0
81,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,1,0,0,1.0,2.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
82,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,867.0,298.0,299.0,151.0,318.0,0,1,0,0,0,0,0,1,0,1,0,0
83,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,4.0,2.0,2.0,1.0,4.0,0,1,0,0,0,0,0,1,0,1,0,0
